empresa_raw,channel_code,n_estadias
SR. DE LAS CORTINAS,REFERIDO,1
SILVER TOURS,AGENCIA,1
WEB HOTEL,DIRECTO,1
AMIGO DE ARQUITECTO,REFERIDO,1
FREE,UNKNOWN,1
UMSA,UNKNOWN,1
GANADORA C. FOTOGRAFIA,UNKNOWN,1
SEÑORES DE LA CORTINAS,UNKNOWN,1
FUNDACION AGUA,EMPRESA,1
AMASZONAS,UNKNOWN,1
AMIGOS DE CARLITA,REFERIDO,1
JK COUTO,UNKNOWN,1
FUNDACION LED,EMPRESA,1
AMIGA DE LIC NATY,REFERIDO,1
INVITADOS,UNKNOWN,1
DEMOCRATAS,UNKNOWN,1
NIBOL,UNKNOWN,1
CAMARA DE TECNOLOGIA.,UNKNOWN,1
PARTICULAR(SEÑOR BARUK),DIRECTO,1
PARTICULAR (OJO),DIRECTO,1
U. ANDINA,UNKNOWN,1
ASOCIACION DE CONUNTOS FOLCLORICOS,UNKNOWN,1
UNICTRAVEL,AGENCIA,1
PAQUETE ESPECIAL 21 / 09,UNKNOWN,1
AIMMA CUNA,UNKNOWN,1
FELFACS,UNKNOWN,1
PARTICULAR/FELAFACS,DIRECTO,1
PAQUETE NOCHE DE BODAS,EVENTO,1
E.DE FISCALES,UNKNOWN,1
CRISTO DE LAS AMERICAS,UNKNOWN,1
SAFI MERCANTIL,UNKNOWN,1
SIMON Y PATIÑO,UNKNOWN,1
REUMATOLOGIA,UNKNOWN,1
SIB CHUQUISACA,UNKNOWN,1
SOBRINA LIC NATY,REFERIDO,1
AUPICIO POCHOLO,UNKNOWN,1
ROYAL TOURS,AGENCIA,1
P.M.A.,UNKNOWN,1
LA PAPELERA,UNKNOWN,1
SAN MIGUEL ABOG,UNKNOWN,1
DANITA TOUR,AGENCIA,1
BOTTERO,UNKNOWN,1
MANPOWER,UNKNOWN,1
CARA PINTADAS,UNKNOWN,1
CORESUR,UNKNOWN,1
FAM TRIP,OTA,1
VIAJES MAYOR. DE TURISMO,AGENCIA,1
EXPIDIA,UNKNOWN,1
PARRTICULAR,UNKNOWN,1
T. EMOCIONA,UNKNOWN,1
T.EMOCIONA,UNKNOWN,1
SOCIEDAD BOLIVIANA DE CIRUJIA,UNKNOWN,1
ARQ. ANDRES,UNKNOWN,1
UNIVERSAL,UNKNOWN,1
UNITEL,UNKNOWN,1
UNITAL,UNKNOWN,1
EMBAJDA DE MEXICO,UNKNOWN,1
POLLICIA BOLIVIANA,UNKNOWN,1
FIBRE IFB,UNKNOWN,1
CPLOR TROPICAL,AGENCIA,1
MERCANTILSANTA CRUZ,UNKNOWN,1
ADVENTUR,UNKNOWN,1
BID,UNKNOWN,1
BOKING,UNKNOWN,1
MIGA,UNKNOWN,1
T-PROMOCIONA,UNKNOWN,1
INGLATERRA,AGENCIA,1
DAYCI TOURS,AGENCIA,1
PARTICULA,UNKNOWN,1
GRUPO BRASILERO,UNKNOWN,1
PARTIVULAR,UNKNOWN,1
CLUB TENNIS,UNKNOWN,1
AGENCIA,AGENCIA,1
ESTROPICAL,AGENCIA,1
HOTEL INDEPENDENCIA,UNKNOWN,1
BANCO FORTALEZA,EMPRESA,1
NATALIA DAVALOS,UNKNOWN,1
PINTURAS Y COLORES,UNKNOWN,1
FAIRPLAY,UNKNOWN,1
LOS PARRALES,UNKNOWN,1
ORTODONCIA,UNKNOWN,1
PARTIULAR,UNKNOWN,1
CLUB TENIS,UNKNOWN,1
SOBOCE,UNKNOWN,1
